"UTC date/time","Unix UTC timestamp","lat","lon","callsign","wind from","knots","gust","barometer","air temp","dew point","water temp"
"2013-Feb-20 0803", 1361347380, 68.463000, -65.249000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-20 0701", 1361343660, 68.463000, -65.249000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-20 0654", 1361343240, 68.463000, -65.249000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-20 0509", 1361336940, 68.462000, -65.245000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-20 0251", 1361328660, 68.462000, -65.245000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-20 0136", 1361324160, 68.462000, -65.248000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-20 0131", 1361323860, 68.462000, -65.248000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-20 0110", 1361322600, 68.462000, -65.248000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-19 2356", 1361318160, 68.462000, -65.241000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-19 2351", 1361317860, 68.462000, -65.241000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-19 2340", 1361317200, 68.462000, -65.241000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-19 2331", 1361316660, 68.462000, -65.245000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-19 2211", 1361311860, 68.463000, -65.235000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-19 2202", 1361311320, 68.462000, -65.245000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-19 2159", 1361311140, 68.463000, -65.235000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-19 2146", 1361310360, 68.463000, -65.235000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-19 2142", 1361310120, 68.463000, -65.235000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-19 2034", 1361306040, 68.463000, -65.235000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-19 2018", 1361305080, 68.463000, -65.235000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-19 2012", 1361304720, 68.463000, -65.235000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-19 2008", 1361304480, 68.463000, -65.235000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-19 1851", 1361299860, 68.460000, -65.242000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-19 1840", 1361299200, 68.460000, -65.242000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-19 1827", 1361298420, 68.460000, -65.242000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-19 1715", 1361294100, 68.461000, -65.241000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-19 1712", 1361293920, 68.461000, -65.241000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-19 1710", 1361293800, 68.461000, -65.241000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-19 1708", 1361293680, 68.461000, -65.241000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-19 1703", 1361293380, 68.461000, -65.241000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-19 1700", 1361293200, 68.464000, -65.247000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-19 1654", 1361292840, 68.460000, -65.244000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-19 1649", 1361292540, 68.460000, -65.244000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-19 1536", 1361288160, 68.461000, -65.247000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-19 1530", 1361287800, 68.461000, -65.247000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-19 1523", 1361287380, 68.461000, -65.247000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-19 1520", 1361287200, 68.459000, -65.258000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-19 1356", 1361282160, 68.464000, -65.245000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-19 1346", 1361281560, 68.464000, -65.245000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-19 1341", 1361281260, 68.464000, -65.245000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-19 1334", 1361280840, 68.459000, -65.258000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-19 1328", 1361280480, 68.464000, -65.245000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-19 1213", 1361275980, 68.464000, -65.245000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-19 1204", 1361275440, 68.464000, -65.245000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-19 1203", 1361275380, 68.464000, -65.245000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-19 1150", 1361274600, 68.464000, -65.245000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-19 1037", 1361270220, 68.464000, -65.245000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-19 1014", 1361268840, 68.462000, -65.245000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-19 0857", 1361264220, 68.464000, -65.249000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-19 0844", 1361263440, 68.464000, -65.249000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-19 0828", 1361262480, 68.461000, -65.247000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-19 0714", 1361258040, 68.461000, -65.247000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-19 0703", 1361257380, 68.461000, -65.247000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-19 0519", 1361251140, 68.461000, -65.247000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-19 0311", 1361243460, 68.461000, -65.247000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-19 0148", 1361238480, 68.461000, -65.247000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-19 0145", 1361238300, 68.461000, -65.249000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
