ID,yyyy,mm,dd,hh,lat,long
300034013464160,2013,8,26,18,79.2883833333,-71.2886666667
300034013464160,2013,8,26,19,79.2875,-71.2899166667
300034013464160,2013,8,26,20,79.2861166667,-71.2911333333
300034013464160,2013,8,26,21,79.28465,-71.2898833333
300034013464160,2013,8,26,22,79.28365,-71.2882666667
300034013464160,2013,8,26,23,79.2834666667,-71.2879333333
300034013464160,2013,8,27,0,79.2839333333,-71.2886666667
300034013464160,2013,8,27,1,79.2845333333,-71.2893166667
300034013464160,2013,8,27,2,79.2852833333,-71.2898666667
300034013464160,2013,8,27,3,79.28645,-71.29
300034013464160,2013,8,27,4,79.2880833333,-71.2887166667
300034013464160,2013,8,27,5,79.2897333333,-71.2855833333
300034013464160,2013,8,27,6,79.29085,-71.28205
300034013464160,2013,8,27,7,79.2915,-71.2793833333
300034013464160,2013,8,27,8,79.2917666667,-71.2782666667
300034013464160,2013,8,27,9,79.29175,-71.2784166667
300034013464160,2013,8,27,10,79.2916333333,-71.279
300034013464160,2013,8,27,11,79.2916166667,-71.2791666667
300034013464160,2013,8,27,12,79.2917333333,-71.2786333333
300034013464160,2013,8,27,13,79.2921333333,-71.2765333333
300034013464160,2013,8,27,14,79.2927666667,-71.27255
300034013464160,2013,8,27,15,79.2933666667,-71.2678666667
300034013464160,2013,8,27,16,79.2938833333,-71.2624166667
300034013464160,2013,8,27,17,79.2942833333,-71.2559166667
300034013464160,2013,8,27,18,79.2945,-71.2481333333
300034013464160,2013,8,27,19,79.2944333333,-71.2390833333
300034013464160,2013,8,27,20,79.2940166667,-71.2290166667
300034013464160,2013,8,27,21,79.2931333333,-71.2185333333
300034013464160,2013,8,27,22,79.2917833333,-71.2105166667
300034013464160,2013,8,27,23,79.2906833333,-71.2059166667
300034013464160,2013,8,28,0,79.2902166667,-71.2043833333
300034013464160,2013,8,28,1,79.2903333333,-71.2048
300034013464160,2013,8,28,2,79.2906833333,-71.2059666667
300034013464160,2013,8,28,3,79.29095,-71.20695
300034013464160,2013,8,28,4,79.2909333333,-71.2068666667
300034013464160,2013,8,28,5,79.2907,-71.2060333333
300034013464160,2013,8,28,6,79.2903166667,-71.2046833333
300034013464160,2013,8,28,7,79.28965,-71.2028833333
300034013464160,2013,8,28,8,79.2886666667,-71.20085
300034013464160,2013,8,28,9,79.28725,-71.19915
300034013464160,2013,8,28,10,79.28575,-71.1988166667
300034013464160,2013,8,28,11,79.2843666667,-71.1999166667
300034013464160,2013,8,28,12,79.2832,-71.2019
300034013464160,2013,8,28,13,79.2823333333,-71.204
300034013464160,2013,8,28,14,79.28215,-71.2045333333
300034013464160,2013,8,28,15,79.2823666667,-71.20395
300034013464160,2013,8,28,16,79.2827333333,-71.203
300034013464160,2013,8,28,17,79.2831666667,-71.2021166667
300034013464160,2013,8,28,18,79.2833833333,-71.2017
300034013464160,2013,8,28,19,79.2835833333,-71.20135
300034013464160,2013,8,28,20,79.2838,-71.2009833333
300034013464160,2013,8,28,21,79.2839666667,-71.2006666667
300034013464160,2013,8,28,22,79.284,-71.2005666667
300034013464160,2013,8,28,23,79.28415,-71.2003666667
300034013464160,2013,8,29,0,79.2845333333,-71.1999
