"beacon","year","month","day","hour","minute","lat","lon","airTemp","batt","atmPres","FormatID","obs","gps_time","speed"
"BUOY1.",2013,2,21,14,0,68.0702,-64.52,-26.5,10.2,0,40,63,2013-02-21 14:00:00,0
"BUOY1.",2013,2,21,15,0,68.0702,-64.52,-26.2,10.2,0,40,64,2013-02-21 15:00:00,0
"BUOY1.",2013,2,21,16,0,68.0702,-64.52,-25.7,10.2,0,40,65,2013-02-21 16:00:00,0
"BUOY1.",2013,2,21,17,0,68.0702,-64.52,-24.8,10.2,0,40,66,2013-02-21 17:00:00,0
"BUOY1.",2013,2,21,18,0,68.0702,-64.52,-24.1,10.2,0,40,67,2013-02-21 18:00:00,0
"BUOY1.",2013,2,21,19,0,68.0702,-64.52,-23.5,10.2,0,40,68,2013-02-21 19:00:00,0
"BUOY1.",2013,2,21,20,0,68.0702,-64.5202,-23.3,10.2,0,40,69,2013-02-21 20:00:00,0
"BUOY1.",2013,2,21,22,0,68.0702,-64.52,-24.3,10.2,0,40,70,2013-02-21 22:00:00,0
"BUOY1.",2013,2,21,23,0,68.0702,-64.52,-24.9,10.2,0,40,71,2013-02-21 23:00:00,0
"BUOY1.",2013,2,22,0,0,68.0702,-64.52,-25.3,10.2,0,40,72,2013-02-22 00:00:00,0
"BUOY1.",2013,2,22,1,0,68.0702,-64.52,-25.6,10.2,0,40,73,2013-02-22 01:00:00,0
"BUOY1.",2013,2,22,2,0,68.0702,-64.52,-25.9,10.2,0,40,74,2013-02-22 02:00:00,0
"BUOY1.",2013,2,22,3,0,68.0702,-64.52,-26.1,10.2,0,40,75,2013-02-22 03:00:00,0
"BUOY1.",2013,2,22,4,0,68.0702,-64.52,-26.4,10.2,0,40,76,2013-02-22 04:00:00,0
"BUOY1.",2013,2,22,5,0,68.07,-64.5196,-26.4,10.2,0,40,77,2013-02-22 05:00:00,0
"BUOY1.",2013,2,22,6,0,68.0702,-64.52,-26.6,10.2,0,40,78,2013-02-22 06:00:00,0
"BUOY1.",2013,2,22,7,0,68.0702,-64.52,-26.7,10,0,40,79,2013-02-22 07:00:00,0
"BUOY1.",2013,2,22,8,0,68.0702,-64.52,-26.6,10,0,40,80,2013-02-22 08:00:00,0
"BUOY1.",2013,2,22,9,0,68.0702,-64.52,-26.4,10,0,40,81,2013-02-22 09:00:00,0
"BUOY1.",2013,2,22,10,0,68.0702,-64.52,-26.3,10,0,40,82,2013-02-22 10:00:00,0
"BUOY1.",2013,2,22,11,0,68.0702,-64.52,-26.2,10.2,0,40,83,2013-02-22 11:00:00,0
"BUOY1.",2013,2,22,12,0,68.0702,-64.52,-26.3,10.2,0,40,84,2013-02-22 12:00:00,0
"BUOY1.",2013,2,22,13,0,68.0702,-64.52,-26.1,10,0,40,85,2013-02-22 13:00:00,0
"BUOY1.",2013,2,22,14,0,68.0702,-64.52,-25.9,10,0,40,86,2013-02-22 14:00:00,0
"BUOY1.",2013,2,22,15,0,68.0702,-64.52,-25.5,10.2,0,40,87,2013-02-22 15:00:00,0
"BUOY1.",2013,2,22,16,0,68.0702,-64.52,-25,10.2,0,40,88,2013-02-22 16:00:00,0
"BUOY1.",2013,2,22,17,0,68.0702,-64.52,-24.4,10.2,0,40,89,2013-02-22 17:00:00,0
"BUOY1.",2013,2,22,18,0,68.0702,-64.52,-23.8,10.2,0,40,90,2013-02-22 18:00:00,0
"BUOY1.",2013,2,22,19,0,68.0702,-64.52,-23.3,10.2,0,40,91,2013-02-22 19:00:00,0
"BUOY1.",2013,2,22,20,0,68.0702,-64.5202,-23.1,10.2,0,40,92,2013-02-22 20:00:00,0
"BUOY1.",2013,2,22,21,0,68.0702,-64.52,-23.4,10.2,0,40,93,2013-02-22 21:00:00,0
"BUOY1.",2013,2,22,22,0,68.0702,-64.52,-24,10.2,0,40,94,2013-02-22 22:00:00,0
"BUOY1.",2013,2,22,23,0,68.0702,-64.52,-24.6,10.2,0,40,95,2013-02-22 23:00:00,0
"BUOY1.",2013,2,23,0,0,68.0702,-64.52,-24.9,10.2,0,40,96,2013-02-23 00:00:00,0
"BUOY1.",2013,2,23,1,0,68.0702,-64.52,-25.1,10.2,0,40,97,2013-02-23 01:00:00,0
"BUOY1.",2013,2,23,2,0,68.0702,-64.52,-25.3,10.2,0,40,98,2013-02-23 02:00:00,0
"BUOY1.",2013,2,23,3,0,68.0702,-64.52,-25.6,10.2,0,40,99,2013-02-23 03:00:00,0
"BUOY1.",2013,2,23,4,0,68.0702,-64.52,-25.9,10.2,0,40,100,2013-02-23 04:00:00,0
"BUOY1.",2013,2,23,5,2,68.0702,-64.5198,-26.1,10.2,0,40,101,2013-02-23 05:02:00,0
"BUOY1.",2013,2,23,6,0,68.0702,-64.52,-26.3,10.2,0,40,102,2013-02-23 06:00:00,0
"BUOY1.",2013,2,23,7,0,68.0702,-64.52,-26.5,10.2,0,40,103,2013-02-23 07:00:00,0
"BUOY1.",2013,2,23,8,0,68.0702,-64.52,-26.6,10.2,0,40,104,2013-02-23 08:00:00,0
"BUOY1.",2013,2,23,9,0,68.0702,-64.52,-26.6,10.2,0,40,105,2013-02-23 09:00:00,0
"BUOY1.",2013,2,23,10,0,68.0702,-64.52,-26.6,10.2,0,40,106,2013-02-23 10:00:00,0
"BUOY1.",2013,2,23,11,0,68.0702,-64.52,-26.5,10.2,0,40,107,2013-02-23 11:00:00,0
"BUOY1.",2013,2,23,12,0,68.0702,-64.52,-26.5,10.2,0,40,108,2013-02-23 12:00:00,0
"BUOY1.",2013,2,23,13,0,68.0702,-64.52,-26.4,10.2,0,40,109,2013-02-23 13:00:00,0
"BUOY1.",2013,2,23,14,0,68.0702,-64.5202,-26.2,10.2,0,40,110,2013-02-23 14:00:00,0
"BUOY1.",2013,2,23,15,0,68.0702,-64.52,-25.9,10.2,0,40,111,2013-02-23 15:00:00,0
"BUOY1.",2013,2,23,16,0,68.0702,-64.52,-25.1,10.2,0,40,112,2013-02-23 16:00:00,0
"BUOY1.",2013,2,23,17,0,68.0702,-64.52,-24.3,10.2,0,40,113,2013-02-23 17:00:00,0
"BUOY1.",2013,2,23,18,0,68.0702,-64.52,-23.5,10.2,0,40,114,2013-02-23 18:00:00,0
"BUOY1.",2013,2,23,19,0,68.0702,-64.52,-22.9,10.2,0,40,115,2013-02-23 19:00:00,0
"BUOY1.",2013,2,23,20,0,68.0704,-64.5202,-22.5,10.4,0,40,116,2013-02-23 20:00:00,0
"BUOY1.",2013,2,23,21,0,68.0702,-64.52,-22.8,10.4,0,40,117,2013-02-23 21:00:00,0
"BUOY1.",2013,2,23,22,0,68.0702,-64.52,-23.4,10.4,0,40,118,2013-02-23 22:00:00,0
"BUOY1.",2013,2,23,23,0,68.0702,-64.52,-24,10.2,0,40,119,2013-02-23 23:00:00,0
"BUOY1.",2013,2,24,0,0,68.0702,-64.52,-24.4,10.2,0,40,120,2013-02-24 00:00:00,0
"BUOY1.",2013,2,24,1,0,68.0702,-64.52,-24.7,10.2,0,40,121,2013-02-24 01:00:00,0
"BUOY1.",2013,2,24,2,0,68.0704,-64.5204,-25,10.2,0,40,122,2013-02-24 02:00:00,0
"BUOY1.",2013,2,24,3,0,68.0702,-64.52,-25.2,10.2,0,40,123,2013-02-24 03:00:00,0
"BUOY1.",2013,2,24,4,0,68.0704,-64.5202,-25.3,10.2,0,40,124,2013-02-24 04:00:00,0
"BUOY1.",2013,2,24,5,0,68.0706,-64.521,-25.4,10.2,0,40,125,2013-02-24 05:00:00,0
"BUOY1.",2013,2,24,6,0,68.0702,-64.52,-25.5,10.2,0,40,126,2013-02-24 06:00:00,0
"BUOY1.",2013,2,24,7,0,68.0702,-64.52,-25.6,10.2,0,40,127,2013-02-24 07:00:00,0
"BUOY1.",2013,2,24,8,0,68.0702,-64.5198,-25.8,10.2,0,40,128,2013-02-24 08:00:00,0
"BUOY1.",2013,2,24,9,0,68.0702,-64.52,-25.9,10.2,0,40,129,2013-02-24 09:00:00,0
"BUOY1.",2013,2,24,10,0,68.0702,-64.52,-25.9,10.2,0,40,130,2013-02-24 10:00:00,0
"BUOY1.",2013,2,24,11,0,68.0702,-64.52,-25.9,10.2,0,40,131,2013-02-24 11:00:00,0
"BUOY1.",2013,2,24,12,0,68.0702,-64.52,-26,10.2,0,40,132,2013-02-24 12:00:00,0
"BUOY1.",2013,2,24,13,0,68.0702,-64.52,-25.9,10.2,0,40,133,2013-02-24 13:00:00,0
"BUOY1.",2013,2,24,14,0,68.0702,-64.52,-25.6,10.2,0,40,134,2013-02-24 14:00:00,0
"BUOY1.",2013,2,24,15,0,68.0702,-64.5198,-25,10.2,0,40,135,2013-02-24 15:00:00,0
"BUOY1.",2013,2,24,16,0,68.0702,-64.5202,-24.3,10.2,0,40,136,2013-02-24 16:00:00,0
"BUOY1.",2013,2,24,17,0,68.0702,-64.52,-23.6,10.2,0,40,137,2013-02-24 17:00:00,0
"BUOY1.",2013,2,24,18,0,68.0702,-64.52,-23.1,10.2,0,40,138,2013-02-24 18:00:00,0
"BUOY1.",2013,2,24,19,0,68.0702,-64.5194,-22.8,10.2,0,40,139,2013-02-24 19:00:00,0
"BUOY1.",2013,2,24,20,0,68.0702,-64.52,-22.7,10.4,0,40,140,2013-02-24 20:00:00,0
"BUOY1.",2013,2,24,21,0,68.0702,-64.5202,-22.8,10.4,0,40,141,2013-02-24 21:00:00,0
"BUOY1.",2013,2,24,22,0,68.0702,-64.52,-23.1,10.4,0,40,142,2013-02-24 22:00:00,0
"BUOY1.",2013,2,24,23,0,68.0702,-64.52,-23.3,10.2,0,40,143,2013-02-24 23:00:00,0
"BUOY1.",2013,2,25,0,0,68.0702,-64.52,-23.4,10.2,0,40,144,2013-02-25 00:00:00,0
"BUOY1.",2013,2,25,1,0,68.0702,-64.52,-23.4,10.2,0,40,145,2013-02-25 01:00:00,0
"BUOY1.",2013,2,25,2,0,68.0702,-64.52,-23.5,10.2,0,40,146,2013-02-25 02:00:00,0
"BUOY1.",2013,2,25,3,0,68.0702,-64.52,-23.7,10.2,0,40,147,2013-02-25 03:00:00,0
"BUOY1.",2013,2,25,4,0,68.0702,-64.52,-23.9,10.2,0,40,148,2013-02-25 04:00:00,0
"BUOY1.",2013,2,25,5,0,68.0702,-64.52,-24.2,10.2,0,40,149,2013-02-25 05:00:00,0
"BUOY1.",2013,2,25,6,0,68.0702,-64.52,-24.4,10.2,0,40,150,2013-02-25 06:00:00,0
"BUOY1.",2013,2,25,7,0,68.0702,-64.52,-24.6,10.2,0,40,151,2013-02-25 07:00:00,0
"BUOY1.",2013,2,25,8,0,68.0702,-64.52,-24.6,10.2,0,40,152,2013-02-25 08:00:00,0
"BUOY1.",2013,2,25,9,0,68.0702,-64.5202,-24.6,10.2,0,40,153,2013-02-25 09:00:00,0
"BUOY1.",2013,2,25,10,0,68.0702,-64.52,-24.5,10.2,0,40,154,2013-02-25 10:00:00,0
"BUOY1.",2013,2,25,11,0,68.0702,-64.52,-24.6,10.2,0,40,155,2013-02-25 11:00:00,0
"BUOY1.",2013,2,25,12,0,68.0702,-64.52,-24.6,10.2,0,40,156,2013-02-25 12:00:00,0
"BUOY1.",2013,2,25,13,0,68.0702,-64.5202,-24.7,10.2,0,40,157,2013-02-25 13:00:00,0
"BUOY1.",2013,2,25,14,0,68.0702,-64.52,-24.5,10.2,0,40,158,2013-02-25 14:00:00,0
"BUOY1.",2013,2,25,15,0,68.0702,-64.52,-24.1,10.2,0,40,159,2013-02-25 15:00:00,0
"BUOY1.",2013,2,25,16,0,68.0702,-64.5198,-23.6,10.2,0,40,160,2013-02-25 16:00:00,0
"BUOY1.",2013,2,25,17,0,68.0702,-64.52,-22.9,10.2,0,40,161,2013-02-25 17:00:00,0
"BUOY1.",2013,2,25,18,0,68.0702,-64.52,-22.3,10.4,0,40,162,2013-02-25 18:00:00,0
"BUOY1.",2013,2,25,19,0,68.0702,-64.5202,-22.1,10.4,0,40,163,2013-02-25 19:00:00,0
"BUOY1.",2013,2,25,20,0,68.0702,-64.52,-22,10.4,0,40,164,2013-02-25 20:00:00,0
"BUOY1.",2013,2,25,21,0,68.0702,-64.52,-22.4,10.4,0,40,165,2013-02-25 21:00:00,0
"BUOY1.",2013,2,25,22,0,68.0702,-64.52,-22.7,10.4,0,40,166,2013-02-25 22:00:00,0
"BUOY1.",2013,2,25,23,0,68.0702,-64.52,-22.9,10.4,0,40,167,2013-02-25 23:00:00,0
"BUOY1.",2013,2,26,0,0,68.0702,-64.52,-23,10.4,0,40,168,2013-02-26 00:00:00,0
"BUOY1.",2013,2,26,1,0,68.0702,-64.52,-23.2,10.4,0,40,169,2013-02-26 01:00:00,0
"BUOY1.",2013,2,26,2,0,68.0702,-64.5202,-23.3,10.4,0,40,170,2013-02-26 02:00:00,0
"BUOY1.",2013,2,26,3,0,68.0702,-64.52,-23.4,10.2,0,40,171,2013-02-26 03:00:00,0
"BUOY1.",2013,2,26,4,0,68.0702,-64.52,-23.5,10.2,0,40,172,2013-02-26 04:00:00,0
"BUOY1.",2013,2,26,5,0,68.0702,-64.52,-23.6,10.2,0,40,173,2013-02-26 05:00:00,0
"BUOY1.",2013,2,26,6,0,68.0702,-64.52,-23.6,10.2,0,40,174,2013-02-26 06:00:00,0
"BUOY1.",2013,2,26,7,0,68.0702,-64.52,-23.7,10.2,0,40,175,2013-02-26 07:00:00,0
"BUOY1.",2013,2,26,8,0,68.0702,-64.52,-23.7,10.2,0,40,176,2013-02-26 08:00:00,0
"BUOY1.",2013,2,26,9,0,68.0704,-64.5204,-23.7,10.2,0,40,177,2013-02-26 09:00:00,0
"BUOY1.",2013,2,26,10,0,68.0702,-64.52,-23.7,10.2,0,40,178,2013-02-26 10:00:00,0
